player_id,player_name
10575,Chris Paddack
10576,Eric Lauer
10577,Bryan Reynolds
10584,Kyle Lewis
10591,Harrison Bader
10592,Jack Flaherty
10597,Sandy Alcantara
10598,Dakota Hudson
10606,Ryne Stanek
10608,Leody Taveras
10616,Lourdes Gurriel Jr.
10620,Rowdy Tellez
10621,Vladimir Guerrero Jr.
10626,Juan Soto
10627,Jesús Luzardo
10639,Fernando Tatis Jr.
10642,Will Smith
10643,Dylan Carlson
10646,Ronald Acuña Jr.
10650,Dom Nuñez
10660,Jordan Montgomery
10666,Anthony Santander
10678,Kyle Higashioka
10679,Stefan Crichton
10683,Nick Pivetta
10685,Paul Fry
10691,Emilio Pagán
10692,José Alvarado
10694,Keynan Middleton
10699,Reyes Moronta
10700,Giovanny Gallegos
10703,Dinelson Lamet
10710,Franchy Cordero
10713,Paul DeJong
10719,Austin Slater
10730,Brandon Woodruff
10745,Luke Voit
10747,Mike Tauchman
10748,Victor Caratini
10749,Adam Kolarek
10760,Austin Adams
10761,Garrett Cooper
10762,Caleb Smith
10763,Andrew Kittredge
10765,Luis Robert
10766,Bo Bichette
10769,Chris Flexen
10772,Jordan Luplow
10773,Aaron Bummer
10775,Kyle Farmer
10789,Mitch Garver
10793,John Curtiss
10794,A.J. Minter
10810,Niko Goodrum
10811,Richard Rodríguez
10826,Austin Hays
10827,Phillip Evans
10834,Tim Locastro
10836,Victor Reyes
10839,Jazz Chisholm Jr.
10842,Pavin Smith
10843,Daulton Varsho
10846,Bryse Wilson
10847,Kyle Wright
10848,DL Hall
10849,Cedric Mullins
10851,Darwinzon Hernandez
10852,Tanner Houck
10858,Adbert Alzolay
10862,Hunter Greene
10866,Taylor Trammell
10867,Shane Bieber
10868,Willi Castro
10869,Aaron Civale
10873,Garrett Hampson
10882,Gregory Soto
10883,Yordan Alvarez
10885,J.B. Bukauskas
10893,Jo Adell
10894,Griffin Canning
10896,Chris Rodriguez
10898,Dustin May
10899,Keibert Ruiz
10903,Edward Cabrera
10909,Trevor Rogers
10910,Corbin Burnes
10912,Keston Hiura
10913,Akil Baddoo
10916,Royce Lewis
10918,Pete Alonso
10919,Andrés Giménez
10921,David Peterson
10926,Clarke Schmidt
10927,Nick Solak
10929,Sean Murphy
10932,Sixto Sánchez
10934,Shane Baz
10938,Logan Allen
10940,MacKenzie Gore
10941,Joey Lucchesi
10942,Evan White
10944,Heliot Ramos
10947,Jordan Hicks
10952,Justin Williams
10958,Ryan Borucki
10959,Danny Jansen
10960,Nate Pearson
10963,Wil Crowe
10964,Luis García
10966,Carter Kieboom
10972,Elieser Hernandez
10986,Tim Hill
10989,Tanner Rainey
11103,Cole Irvin
11104,Randy Arozarena
11108,DJ Stewart
11112,Brusdar Graterol
11113,Nick Anderson
11116,Zac Gallen
11118,Jeff McNeil
11121,Jeffrey Springs
11124,Ramón Laureano
11125,Brandon Lowe
11127,Adolis García
11134,Aristides Aquino
11138,Framber Valdez
11162,Yonathan Daza
11165,Myles Straw
11168,John Means
11169,Jon Berti
11172,Dylan Moore
11191,Jonathan Hernández
11192,Julian Merryweather
11197,Huascar Ynoa
11206,Sam Hilliard
11212,Matt Beaty
11213,Edwin Ríos
11221,Luis Arraez
11227,JT Brubaker
11231,Ty France
11235,Logan Webb
11237,Génesis Cabrera
11251,Merrill Kelly
11253,Jordan Romano
11263,Yusei Kikuchi
11267,Alek Thomas
11268,William Contreras
11271,Cristian Pache
11272,Drew Waters
11277,Grayson Rodriguez
11279,Triston Casas
11284,Nico Hoerner
11285,Brailyn Márquez
11292,Jonathan India
11306,Nick Madrigal
11315,Cristian Javier
11319,Kris Bubic
11321,Nicky Lopez
11322,Daniel Lynch
11323,Brady Singer
11330,Jeter Downs
11331,Tony Gonsolin
11344,Jorge Alcala
11347,Trevor Larnach
11349,Francisco Alvarez
11351,Ronny Mauricio
11358,Garrett Whitlock
11362,Daulton Jefferies
11365,Alec Bohm
11370,Oneil Cruz
11375,Xavier Edwards
11377,Luis Patiño
11379,Ryan Weathers
11381,Logan Gilbert
11382,Jarred Kelenic
11384,Julio Rodriguez
11388,Marco Luciano
11391,Nolan Gorman
11392,Andrew Knizner
11395,Vidal Bruján
11397,Matthew Liberatore
11398,Shane McClanahan
11405,Jordan Groshans
11417,Geraldo Perdomo
11418,Kristian Robinson
11428,Dean Kremer
11436,Brennen Davis
11460,Bryan Garcia
11464,Brandon Bielak
11471,Kyle Isbel
11480,Josiah Gray
11503,Simeon Woods Richardson
11505,Deivi García
11515,Spencer Howard
11526,Andrés Muñoz
11527,Luis Campusano
11529,Noelvi Marte
11536,Camilo Doval
11573,Wander Franco
11585,Jared Walsh
11590,Zach Plesac
11596,Tommy Edman
11597,Pete Fairbanks
11599,Austin Nola
11605,Mike Brosseau
11608,José Urquidy
11623,Josh Rojas
11625,Emmanuel Clase
11626,Kevin Ginkel
11628,Devin Williams
11629,Randy Dobnak
11631,Victor González
11632,James Karinchak
11643,Seth Brown
11644,Tyler Rogers
11645,David Bednar
11647,Sam Haggerty
11661,Michael King
11664,Blake Taylor
11665,Kent Emanuel
11673,Matt Foster
11675,Yermín Mercedes
11682,Tejay Antone
11687,Anthony Castro
11692,Jake Cronenworth
11700,Zach McKinstry
11702,J.P. Feyereisen
11718,Yoshi Tsutsugo
11719,Kwang Hyun Kim
11721,Shogo Akiyama
11722,Corbin Carroll
11732,Adley Rutschman
11735,Jarren Duran
11750,Nick Lodolo
11760,Riley Greene
11763,Tarik Skubal
11771,Bobby Witt Jr.
11782,JJ Bleday
11805,Jasson Dominguez
11814,Nick Maton
11820,Quinn Priester
11822,CJ Abrams
11826,George Kirby
11838,Johan Oviedo
11849,Sam Huff
11850,Josh Jung
11853,Alejandro Kirk
11854,Alek Manoah
11866,Andrew Vaughn
11888,Josh Fleming
11889,Ryan Thompson
11899,Yadiel Hernandez
11903,Luis Garcia
11914,Spencer Torkelson
11926,Reid Detmers
11955,Connor Brogdon
11959,Codi Heuer
11984,Robert Hassell III
11988,Emerson Hancock
11990,Anthony Misiewicz
11991,Ljay Newsome
12015,Max Meyer
12018,Caleb Baragar
12026,Austin Martin
12046,Garrett Crochet
12049,Nick Gonzales
12077,Asa Lacy
12090,Bruce Zimmermann
12115,Kohei Arihara
12116,Ha-Seong Kim
12121,Heston Kjerstad
12133,Zac Veen
12152,Garrett Mitchell
12166,Mick Abel
12185,Hyeon-Jong Yang
